Station,Brand,Street,City,State,Regular_Price,Regular_Timestamp,Diesel_Price,Day_Type,Classification,Zip_Code
TURKEY HILL #950283 Turkey Hill,Turkey Hill,209 W KING ST,Shippensburg,PA,3.999,01APR2026,,Weekday,Urban,17257
BOBS SERVICE Unbranded,Unbranded,1198 BALTIMORE PIKE,Springfield,PA,4.199,01APR2026,,Weekday,Urban,19086
MANOS GULF Gulf,Gulf,523 S CHESTER RD,Swarthmore,PA,4.199,01APR2026,,Weekday,Urban,19086
7-ELEVEN #35959 7-Eleven,7-Eleven,3 FAYETTE AVE,Belle Vernon,PA,3.999,01APR2026,,Weekday,Urban,15072
SUNOCO Sunoco,Sunoco,15 FAYETTE AVE,Belle Vernon,PA,3.999,01APR2026,5.999,Weekday,Urban,15072
Sunoco Sunoco,Sunoco,900 ROSTRAVER RD,Belle Vernon,PA,3.999,01APR2026,6.599,Weekday,Urban,15072
MANOS AUTO REPAIR Unbranded,Unbranded,320 CHESTER RD,Wallingford,PA,4.099,01APR2026,,Weekday,Urban,19086
Uni-Mart Uni-Mart,Uni-Mart,1229 MACDADE BLVD,Woodlyn,PA,4.049,01APR2026,5.999,Weekday,Urban,19086
Wawa #8166 Wawa,Wawa,1920 MACDADE BLVD,Woodlyn,PA,4.199,01APR2026,5.999,Weekday,Urban,19086
LUKOIL Lukoil,Lukoil,1901 MACDADE BLVD,Woodlyn,PA,3.899,01APR2026,,Weekday,Urban,19086
Country Fair #59,Country Fair,4526 PINE AVE,Erie,PA,3.999,01APR2026,,Weekday,Urban,16546
Kwik Fill #157,Kwik Fill,1588 E 38TH ST,Erie,PA,3.999,01APR2026,,Weekday,Urban,16546
17 xpress,Unbranded,2306 Broad Street,Philadelphia,PA,3.799,01APR2026,,Weekday,Urban,16546
Country Fair #2,Country Fair,957 E 26TH ST,Erie,PA,3.939,01APR2026,5.969,Weekday,Urban,16546
Country Fair #3,Country Fair,347 E 12TH ST,Erie,PA,3.999,01APR2026,5.999,Weekday,Urban,16546
Country Fair #38,Country Fair,1810 SASSAFRAS STREET,Erie,PA,3.939,01APR2026,5.999,Weekday,Urban,16546
Country Fair #50,Country Fair,2266 E 38TH ST Erie,Erie,PA,3.999,01APR2026,5.969,Weekday,Urban,16546
Country Fair #90,Country Fair,2525 STATE ST,Erie,PA,3.999,01APR2026,,Weekday,Urban,16546
Shell,Shell,605 PARADE ST,Erie,PA,3.799,01APR2026,,Weekday,Urban,16546
SUNOCO Sunoco,Sunoco,700 COOPER ST,Camden,NJ,4.799,02APR2026,,Weekday,Urban,19175
Archbald Express Mart Unbranded,Unbranded,377 N MAIN ST,Archbald,PA,3.999,02APR2026,,Weekday,Urban,18403
Archbald Express Mart Unbranded,Unbranded,377 N MAIN ST,Archbald,PA,3.999,02APR2026,,Weekday,Urban,18403
Archbald Express Mart Unbranded,Unbranded,377 N MAIN ST,Archbald,PA,3.999,02APR2026,,Weekday,Urban,18403
Archbald Express Mart Unbranded,Unbranded,377 N MAIN ST,Archbald,PA,3.999,02APR2026,,Weekday,Urban,18403
Archbald Express Mart Unbranded,Unbranded,377 N MAIN ST,Archbald,PA,3.999,02APR2026,,Weekday,Urban,18403
COUSINS C MART II Gulf,Gulf,202 BETTY ST,Archbald,PA,4.199,02APR2026,,Weekday,Urban,18403
JOES KWIK MART #110 Joes Kwik Mart,Kwik Mart,99 S MAIN ST,Archbald,PA,3.999,02APR2026,,Weekday,Urban,18403
PENN JERSEY EYNON Unbranded,Unbranded,515 US HIGHWAY 6,Archbald,PA,3.959,02APR2026,,Weekday,Urban,18403
SUNOCO SERVICE STATION Sunoco,Sunoco,224 N MAIN ST,Archbald,PA,4.079,02APR2026,,Weekday,Urban,18403
STEVES AUTO CARE Liberty,Liberty,1790 SWEDE RD,Blue Bell,PA,4.079,02APR2026,,Weekday,Urban,19422
SUNOCO Sunoco,Sunoco,646 SKIPPACK PIKE,Blue Bell,PA,4.199,02APR2026,,Weekday,Urban,19422
WAWA #8034 Wawa,Wawa,1015 DEKALB PIKE,Blue Bell,PA,4.199,02APR2026,5.999,Weekday,Urban,19422
Shell Shell,Shell,799 UPLAND AVE,Brookhaven,PA,4.199,02APR2026,,Weekday,Urban,19086
SHELL Shell,Shell,3919 EDGMONT AVE,Brookhaven,PA,4.799,02APR2026,,Weekday,Urban,19086
WAWA #8032 Wawa,Wawa,4703 EDGMONT AVE,Brookhaven,PA,4.199,02APR2026,5.999,Weekday,Urban,19086
A PLUS MINI MARKET A Plus,A Plus,1 FALLOWFIELD AVE,Charleroi,PA,3.999,02APR2026,,Weekday,Urban,15072
EXXON Exxon,Exxon,1001 MAPLE DR,Charleroi,PA,3.899,02APR2026,,Weekday,Urban,15072
GULF Gulf,Gulf,62 MCKEAN AVE,Charleroi,PA,3.899,02APR2026,,Weekday,Urban,15072
A PLUS MINI MARKET A Plus,A Plus,2200 EDGMONT AVE,Chester,PA,4.199,02APR2026,,Weekday,Urban,19086
Sheetz #715 Sheetz,Sheetz,3261 W College Ave,State College,PA,4.199,02APR2026,6.299,Weekday,Rural,16868
UNI-MART #192 Uni-Mart,Uni-Mart,3180 W COLLEGE AVE,State College,PA,3.999,02APR2026,5.999,Weekday,Rural,16868
COUNTRY FAIR #2 Country Fair,Country Fair,957 E 26TH ST,Erie,PA,3.999,02APR2026,5.999,Weekday,Urban,16546
COUNTRY FAIR #2 Country Fair,Country Fair,957 E 26TH ST,Erie,PA,3.999,02APR2026,5.999,Weekday,Urban,16546
COUNTRY FAIR #2 Country Fair,Country Fair,957 E 26TH ST,Erie,PA,3.999,02APR2026,5.999,Weekday,Urban,16546
